fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.0,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.0,0.01056,0.01,0.93982,0.00044,3.01664,0.90354,7.52266,0.55079,1.59801,0.01562,0.7,0.47325,0.0,0.09455,0.58005,0.0,0.0,0.0,0.45446,0.0,1.0,0.0,0.0
0.0,0.01056,0.00973,0.93602,0.00044,2.97625,0.90952,7.57304,0.56224,1.62421,0.01567,0.71585,0.47695,0.0,0.09562,0.58584,0.0,0.0,0.0,0.45209,0.0,1.0,0.0,0.0
0.0,0.00981,0.01059,0.94353,0.00045,2.98877,0.8,9.00878,0.48404,1.60921,0.01568,0.71977,0.4808,0.0,0.1,0.34083,0.0,0.0,0.0,0.45694,0.0,1.0,0.0,0.0
0.0,0.01208,0.00973,0.94093,0.00036,2.86093,0.95,9.06752,0.63396,1.66213,0.01567,0.62497,0.47695,0.0,0.09651,0.58584,0.0,0.0,0.0,0.45209,0.0,1.0,0.0,0.0
0.0,0.01056,0.00903,0.97255,0.00041,2.48371,0.95,7.66499,0.55079,1.32238,0.01508,0.7,0.47325,0.0,0.09455,0.63022,0.0,0.0,0.0,0.42434,0.0,0.72688,0.0,0.0
0.0,0.01208,0.00928,0.9368,0.00037,2.83896,0.95,8.76555,0.62018,1.65454,0.01567,0.62103,0.47695,0.0,0.09651,0.59724,0.0,0.0,0.0,0.45209,0.0,1.0,0.0,0.0
0.0,0.00945,0.01,0.95322,0.00041,2.86601,0.95,7.44794,0.54338,1.57998,0.01363,0.7,0.43857,0.0,0.09772,0.53979,0.0,0.0,0.0,0.40361,0.0,0.99037,0.0,0.0
0.0,0.0078,0.01098,0.88924,0.00051,3.01664,0.90354,5.81698,0.50392,2.17344,0.01383,0.76433,0.44228,0.0,0.09378,0.64339,0.0,0.0,0.0,0.46999,0.0,0.81981,0.0,0.0
0.0,0.01205,0.0115,0.91803,0.00044,3.40259,0.79108,5.95584,0.48404,1.43389,0.01466,0.851,0.48584,0.0,0.12258,0.34083,0.0,0.0,0.0,0.41977,0.0,1.0,0.0,0.0
